Full name accepted	Abbreviation with periods accepted	Abbreviation without periods accepted
Annales of National Institute of Hygiene/Roczniki Panstwowego Zakladu Higieny	Ann. Natl. Inst. Hyg./Rocz. Panstw. Zak. Hig.	Ann Natl Inst Hyg/Rocz Panstw Zak Hig
Annales Zoologici Fennici	Ann. Zool. Fenn.	Ann Zool Fenn
Annales	Annales	Annales
Annales. Anali za istrske in mediteranske studije. (Series historia naturalis)	Ann. An. Istrske Mediter. Stud. (Hist. Nat.)	Ann An Istrske Mediter Stud (Hist Nat)
Annali del Museo Civico di Storia Naturale Giacomo Doria	Ann. Mus. Civ. Stor. Nat. Giacomo Doria	Ann Mus Civ Stor Nat Giacomo Doria
Annali della Facolta di scienze nautiche, Istituto universitario navale, Napoli	Ann. Fac. Sci. Naut. Ist. Univ. Nav. Napoli	Ann Fac Sci Naut Ist Univ Nav Napoli
Annals of Agri Bio Research	Ann. Agri Bio Res.	Ann Agri Bio Res
Annals of Agricultural and Environmental Medicine	Ann. Agric. Environ. Med.	Ann Agric Environ Med
Annals of Agricultural Science, Moshtohor	Ann. Agric. Sci., Moshtohor	Ann Agric Sci, Moshtohor
Annals of Allergy, Asthma & Immunology	Ann. Allergy, Asthma Immunol.	Ann Allergy, Asthma Immunol
Annals of Applied Biology	Ann. Appl. Biol.	Ann Appl Biol
Annals of Biology	Ann. Biol.	Ann Biol
Annals of Biomedical Engineering	Ann. Biomed. Eng.	Ann Biomed Eng
Annals of Botany	Ann. Bot.	Ann Bot
Annals of Emergency Medicine	Ann. Emergency Med.	Ann Emergency Med
Annals of Epidemiology	Ann. Epidemiol.	Ann Epidemiol
Annals of Medical Entomology	Ann. Med. Entomol.	Ann Med Entomol
Annals of Medicine	Ann. Med.	Ann Med
Annals of Neurology	Ann. Neurol.	Ann Neurol
Annals of Nuclear Energy	Ann. Nucl. Energy	Ann Nucl Energy
Annals of Occupational Hygiene	Ann. Occup. Hyg.	Ann Occup Hyg
Annals of Oncology	Ann. Oncol.	Ann Oncol
Annals of the Cape Provincial Museums, Natural History	Ann. Cape Prov. Mus. Nat. Hist.	Ann Cape Prov Mus Nat Hist
Annals of the Eastern Cape Museums	Ann. East. Cape Mus.	Ann East Cape Mus
Annals of the Entomological Society of America	Ann. Entomol. Soc. Am.	Ann Entomol Soc Am
Annals of the ICRP	Ann. ICRP	Ann ICRP
Annals of the New York Academy of Sciences	Ann. N. Y. Acad. Sci.	Ann N Y Acad Sci
Annals of the Phytopathological Society of Japan	Ann. Phytopathol. Soc. Japan	Ann Phytopathol Soc Japan
Annals of the Rheumatic Diseases	Ann. Rheum. Dis.	Ann Rheum Dis
Annals of the South African Museum	Ann. S. Afr. Mus.	Ann S Afr Mus
Annals of the Upper Silesian Museum in Bytom, Entomology	Ann. Upper Silesian Mus. Bytom, Entomol.	Ann Upper Silesian Mus Bytom, Entomol
Annals of Tropical Medicine and Parasitology	Ann. Trop. Med. Parasitol.	Ann Trop Med Parasitol
Annals of Tropical Paediatrics: International Child Health	Ann. Trop. Paediatr. Int. Child Health	Ann Trop Paediatr Int Child Health
Annuaire des statistiques des peches en Tunisie	Annu. Stat. Peches Tunis.	Annu Stat Peches Tunis
Annuaire du droit de la mer.	Annu. Droit Mer	Annu Droit Mer
Annual departmental report by the Director of Agriculture and Fisheries (Hong Kong)	Annu. Dep. Rep. Dir. Agric. Fish. (Hong Kong)	Annu Dep Rep Dir Agric Fish (Hong Kong)
Annual highlights. Marine Fisheries Research Department, Southeast Asian Fisheries Development Center	Annu. Highlights Mar. Fish. Res. Dep. Southeast Asian Fish. Dev. Cent.	Annu Highlights Mar Fish Res Dep Southeast Asian Fish Dev Cent
Annual report and accounts. Environment Agency (Gt.Brit.)	Annu. Rep. Acc. Environ. Agency (G.B.)	Annu Rep Acc Environ Agency (GB)
Annual report and accounts. Irish Sea Fisheries Board	Annu. Rep. Acc. Ir. Sea Fish. Board	Annu Rep Acc Ir Sea Fish Board
Annual report and accounts. Sea Fish Industry Authority	Annu. Rep. Acc. Sea Fish Ind. Auth.	Annu Rep Acc Sea Fish Ind Auth
Annual Report KORDI	Annu. Rep. KORDI	Annu Rep KORDI
Annual Report National Institute of Genetics, Japan	Annu. Rep., Natl. Inst. Genet., Jap.	Annu Rep, Natl Inst Genet, Jap
Annual Report Netherlands Institute for Sea Research	Annu. Rep. Neth. Inst. Sea Res.	Annu Rep Neth Inst Sea Res
Annual report of activities. Directorate of Fisheries (Bahrain)	Annu. Rep. Act. Dir. Fish. (Bahrain)	Annu Rep Act Dir Fish (Bahrain)
Annual report of oceanographic observations. National Fisheries Research and Development Institute (Korea)	Annu. Rep. Oceanogr. Obs. Natl. Fish. Res. Dev. Inst. (Korea)	Annu Rep Oceanogr Obs Natl Fish Res Dev Inst (Korea)
Annual report of the Director. Fishing Industry Research Institute, University of Cape Town/Jaarverslag van die Direkteur. Visnywerheid- navorsingsinstituut Universiteit van Kaapstad	Annu. Rep. Dir. Fish. Ind. Res. Inst. Univ. Cape Town/Jaarversl. Dir. Visnywerheid- navorsingsinst. Univ. Kaapstad	Annu Rep Dir Fish Ind Res Inst Univ Cape Town/Jaarversl Dir Visnywerheid- navorsingsinst Univ Kaapstad
Annual Report of the Inter-American Tropical Tuna Commission/Informe anual de la Comision Interamericana del Atun Tropical	Annu. Rep. IATTC/Inf. Anu. CIAT	Annu Rep IATTC/Inf Anu CIAT
Annual Report of the International Whaling Commission	Annu. Rep. Int. Whaling Comm.	Annu Rep Int Whaling Comm
Annual report of the National Institute of Genetics (Japan)	Annu. Rep. Natl. Inst. Genet. (Japan)	Annu Rep Natl Inst Genet (Japan)
Annual Report, Fisheries Department of Western Australia	Annu. Rep. Fish. Dep. West. Aust.	Annu Rep Fish Dep West Aust
Annual report, Pacific Marine Fisheries Commission	Annu. Rep. Pac. Mar. Fish. Comm.	Annu Rep Pac Mar Fish Comm
Annual report. Atlantic Fisheries Restructuring Act/Rapport annuel. Loi sur la Restructuration du Secteur des Peches de l'Atlantique	Annu. Rep. Atl. Fish. Restruct. Act/Rapp. Annu. Loi Restruct. Sect. Peches Atl.	Annu Rep Atl Fish Restruct Act/Rapp Annu Loi Restruct Sect Peches Atl
Annual report. Atlantic Salmon Federation	Annu. Rep. Atl. Salm. Fed.	Annu Rep Atl Salm Fed
Annual report. Australian Fisheries Management Authority	Annu. Rep. Aust. Fish. Manag. Auth.	Annu Rep Aust Fish Manag Auth
Annual report. Australian Institute of Marine Science	Annu. Rep. Aust. Inst. Mar. Sci.	Annu Rep Aust Inst Mar Sci
Annual report. Bermuda Biological Station for Research	Annu.Rep. Bermuda Biol. Stn. Res.	AnnuRep Bermuda Biol Stn Res
Annual report. Canada Institute for Scientific and Technical Information/Rapport annuel. Institut canadien de l'Information scientifique et technique	Annu. Rep. Can. Inst. Sci. Tech. Inf./Rapp. Annu. Inst. Can. Inf. Sci. Tech.	Annu Rep Can Inst Sci Tech Inf/Rapp Annu Inst Can Inf Sci Tech
Annual report. Canada Water Act/Rapport annuel. Loi sur les Ressources en Eau du Canada	Annu. Rep. Can. Water Act/Rapp. Annu. Loi Ressour. Eau Can.	Annu Rep Can Water Act/Rapp Annu Loi Ressour Eau Can
Annual report. Canadian Institute of Fisheries Technology	Annu. Rep. Can. Inst. Fish. Technol.	Annu Rep Can Inst Fish Technol
Annual report. Central Inland Capture Fisheries Research Institute, Barrackpore	Annu. Rep. Cent. Inland Capture Fish. Res. Inst. Barrackpore	Annu Rep Cent Inland Capture Fish Res Inst Barrackpore
Annual report. Central Institute of Fisheries Education, Bombay	Annu. Rep. Cent. Inst. Fish. Educ. Bombay	Annu Rep Cent Inst Fish Educ Bombay
Annual report. Central Institute of Fisheries Technology, Cochin	Annu. Rep. Cent. Inst. Fish. Technol. Cochin	Annu Rep Cent Inst Fish Technol Cochin
Annual report. Central Marine Fisheries Research Institute, Cochin	Annu. Rep. Cent. Mar. Fish. Res. Inst. Cochin	Annu Rep Cent Mar Fish Res Inst Cochin
Annual report. Chesapeake Bay Foundation	Annu. Rep. Chesapeake Bay Found.	Annu Rep Chesapeake Bay Found
Annual report. Department of Fisheries (Zambia)	Annu. Rep. Dep. Fish. (Zambia)	Annu Rep Dep Fish (Zambia)
Annual report. Department of Fisheries and Oceans (Canada)/Rapport annuel. Ministere des Peches et des Oceans (Canada)	Annu. Rep. Dep. Fish. Oceans (Can.)/Rapp. Annu. Minist. Peches Oceans (Can.)	Annu Rep Dep Fish Oceans (Can)/Rapp Annu Minist Peches Oceans (Can)
Annual report. Department of Oceanography, University of British Columbia	Annu. Rep. Dep. Oceanogr. Univ. B.C.	Annu Rep Dep Oceanogr Univ BC
Annual report. Environment Canada/Rapport annuel. Environnement Canada	Annu. Rep. Environ. Can./Rapp. Annu. Environ. Can.	Annu Rep Environ Can/Rapp Annu Environ Can
Annual report. Environmental Research Laboratories, National Oceanic and Atmospheric Administration (U.S.)	Annu. Rep. ERL/NOAA	Annu Rep ERL/NOAA
Annual Report. European Marine and Polar Science	Annu. Rep. EMAPS	Annu Rep EMAPS
Annual report. Fish Health Unit, Faculty of Veterinary Medicine, University of Prince Edward Island	Annu. Rep. Fish Health Unit Fac. Vet. Med. Univ. P.E.I.	Annu Rep Fish Health Unit Fac Vet Med Univ PEI
Annual report. Fish Marketing Organization, Hong Kong	Annu. Rep. Fish Mark. Organ. Hong Kong	Annu Rep Fish Mark Organ Hong Kong
Annual report. Fisheries and Aquaculture (New Brunswick)/Rapport annuel. Peches et Aquaculture (Nouveau-Brunswick)	Annu. Rep. Fish. Aquacult. (N.B.)/Rapp. Annu. Peches Aquacult. (N.-B.)	Annu Rep Fish Aquacult (NB)/Rapp Annu Peches Aquacult (N-B)
Annual report. Fisheries Development Act. Department of Fisheries and Oceans (Canada)/Rapport annuel. Loi sur le Developpement de la Peche. Ministere des Peches et des Oceans (Canada)	Annu. Rep. Fish. Dev. Act Dep. Fish. Oceans (Can.)/Rapp. Annu. Loi Dev. Peche Minist. Peches Oceans (Can.)	Annu Rep Fish Dev Act Dep Fish Oceans (Can)/Rapp Annu Loi Dev Peche Minist Peches Oceans (Can)
Annual report. Fisheries Division (Fiji)	Annu. Rep. Fish. Div. (Fiji)	Annu Rep Fish Div (Fiji)
Annual report. Fisheries Division (Samoa)	Annu. Rep. Fish. Div. (Samoa)	Annu Rep Fish Div (Samoa)
Annual report. Fisheries Improvement Loans Act. Department of Fisheries and Oceans (Canada)/Rapport annuel. Loi sur les Prets aidant aux Operations de Peche. Ministere des Peches et des Oceans (Canada)	Annu. Rep. Fish. Improv. Loans Act Dep. Fish. Oceans (Can.)/Rapp. Annu. Loi Prets Aidant Oper. Peche Minist. Peches Oceans (Can.)	Annu Rep Fish Improv Loans Act Dep Fish Oceans (Can)/Rapp Annu Loi Prets Aidant Oper Peche Minist Peches Oceans (Can)
Annual report. Fisheries Prices Support Board Canada/Rapport annuel. Office des Prix de Produits de la Peche Canada	Annu. Rep. Fish. Prices Support Board Can./Rapp. Annu. Off. Prix Prod. Peche Can.	Annu Rep Fish Prices Support Board Can/Rapp Annu Off Prix Prod Peche Can
Annual report. Fishery Survey of India	Annu. Rep. Fish. Surv. India	Annu Rep Fish Surv India
Annual report. Freshwater Fisheries Centre, Christchurch	Annu. Rep. Freshwat. Fish. Cent. Christchurch	Annu Rep Freshwat Fish Cent Christchurch
Annual report. Great Barrier Reef Marine Park Authority	Annu. Rep. Great Barrier Reef Mar. Park Auth.	Annu Rep Great Barrier Reef Mar Park Auth
Annual Report. Great Lakes Fishery Commission	Annu. Rep. GLFC	Annu Rep GLFC
Annual report. Huntsman Marine Science Centre	Annu. Rep. Huntsman Mar. Sci.Cent.	Annu Rep Huntsman Mar SciCent
Annual report. Inshore fisheries statistics. Ministry of Fisheries (Tonga)	Annu. Rep. Inshore Fish. Stat. Minist. Fish. (Tonga)	Annu Rep Inshore Fish Stat Minist Fish (Tonga)
Annual report. International Pacific Halibut Commission	Annu. Rep. IPHC	Annu Rep IPHC
Annual Report. International Whaling Commission	Annu. Rep. Int. Whaling Comm.	Annu Rep Int Whaling Comm
Annual report. Iranian Fisheries Research and Training Organization	Annu. Rep. Iran. Fish. Res. Train. Organ.	Annu Rep Iran Fish Res Train Organ
Annual Report. Iranian Fisheries Research Organization	Annu. Rep. Iran. Fish. Res. Org.	Annu Rep Iran Fish Res Org
Annual report. Kenya Marine and Fisheries Research Institute	Annu. Rep. Kenya Mar. Fish. Res. Inst.	Annu Rep Kenya Mar Fish Res Inst
Annual report. Marine and Freshwater Resources Institute	Annu. Rep. Mar. Freshw. Resour. Inst.	Annu Rep Mar Freshw Resour Inst
Annual report. Marine Biological Association of the United Kingdom	Annu. Rep. Mar. Biol. Assoc. U.K.	Annu Rep Mar Biol Assoc UK
Annual report. Marine Institute, Dublin	Annu. Rep. Mar. Inst. Dublin	Annu Rep Mar Inst Dublin
Annual Report. Marine Mammal Commission	Annu. Rep. Mar. Mamm. Comm.	Annu Rep Mar Mamm Comm
Annual report. Marine Products Export Development Authority of India	Annu. Rep. Mar. Prod. Export Dev. Auth. India	Annu Rep Mar Prod Export Dev Auth India
Annual Report. Ministry of Agriculture, Fisheries and Forests (Fiji)	Annu. Rep. Minist. Agric. Fish. Forests (Fiji)	Annu Rep Minist Agric Fish Forests (Fiji)
Annual Report. Monterey Bay Aquarium Research Institute	Annu. Rep. MBARI	Annu Rep MBARI
Annual report. Murray-Darling Freshwater Research Centre	Annu. Rep. Murray-Darling Freshwat. Res. Cent.	Annu Rep Murray-Darling Freshwat Res Cent
Annual report. National Bureau of Fish Genetic Resources (India)	Annu. Rep. Natl. Bur. Fish Genet. Resour. (India)	Annu Rep Natl Bur Fish Genet Resour (India)
Annual report. National Center for Atmospheric Research (U.S.)	Annu. Rep. Natl. Cent. Atmos. Res. (U.S.)	Annu Rep Natl Cent Atmos Res (US)
Annual report. National Institute for Freshwater Fisheries Research (Nigeria)	Annu. Rep. Natl. Inst. Freshwat. Fish. Res. (Niger.)	Annu Rep Natl Inst Freshwat Fish Res (Niger)
Annual report. National Institute of Oceanography (India)	Annu. Rep. Natl. Inst. Oceanogr. (India)	Annu Rep Natl Inst Oceanogr (India)
Annual report. National Oceanic and Atmospheric Administration (U.S.), Environmental Research Laboratories, Great Lakes Environmental Research Laboratory	Annu. Rep. NOAA/ERL/GLEL	Annu Rep NOAA/ERL/GLEL
Annual report. National Oceanic and Atmospheric Administration (U.S.), Environmental Research Laboratories, Pacific Marine Environmental Research Laboratory	Annu. Rep. NOAA/ERL/PMEL	Annu Rep NOAA/ERL/PMEL
Annual report. Netherlands Institute for the Law of the Sea	Annu. Rep. Neth. Inst. Law Sea	Annu Rep Neth Inst Law Sea
Annual report. Nigerian Institute for Oceanography and Marine Research	Annu. Rep. Niger. Inst. Oceanogr. Mar. Res.	Annu Rep Niger Inst Oceanogr Mar Res
Annual Report. NORAD	Ann. Rep. Norad	Ann Rep Norad
Annual Report. North Atlantic Marine Mammal Commission	Annu. Rep. NAMMCO	Annu Rep NAMMCO
Annual report. North Pacific Anadromous Fish Commission	Annu. Rep. NPAFC	Annu Rep NPAFC
Annual report. North Pacific Marine Science Organization	Annu. Rep. North Pac. Mar. Sci. Organ.	Annu Rep North Pac Mar Sci Organ
Annual report. Northwest Atlantic Fisheries Organization	Annu. Rep. NAFO	Annu Rep NAFO
Annual report. Oceanic Institute, Honolulu	Anu. Rep. Ocean. Inst. Honolulu	Anu Rep Ocean Inst Honolulu
Annual report. Pacific Salmon Commission	Annu. Rep. Pac. Salm. Comm.	Annu Rep Pac Salm Comm
Annual report. Royal Ontario Museum/Rapport annuel. Musee royal de l'Ontario	Annu. Rep. R. Ont. Mus./Rapp. Annu. Mus. R. Ont.	Annu Rep R Ont Mus/Rapp Annu Mus R Ont
Annual report. Salmon Genetics Research Program (Canada)	Annu. Rep. Salm. Genet. Res. Program (Can.)	Annu Rep Salm Genet Res Program (Can)
Annual report. Salmon Research Agency of Ireland Incorporated	Annu. Rep. Salmon Res. Agency Irel. Inc.	Annu Rep Salmon Res Agency Irel Inc
Annual report. Seychelles Fishing Authority	Annu. Rep. Seychelles Fish. Auth.	Annu Rep Seychelles Fish Auth
Annual report. Sir Alister Hardy Foundation for Ocean Science	Annu. Rep. Sir Alister Hardy Found. Ocean Sci.	Annu Rep Sir Alister Hardy Found Ocean Sci
Annual report. Southern California Coastal Water Research Project	Annu. Rep. South. Calif. Coast. Water. Res. Proj.	Annu Rep South Calif Coast Water Res Proj
Annual Report. Tasmanian Aquaculture and Fisheries Institute	Ann. Rep. Tasmanian Aquacult. Fish. Inst.	Ann Rep Tasmanian Aquacult Fish Inst
Annual Report. Tennessee Valley Authority	Ann. Rep. Tenn. Valley Auth.	Ann Rep Tenn Valley Auth
Annual Report. U.S. Bureau of Reclamation	Ann. Rep. U.S. Bureau Reclam.	Ann Rep US Bureau Reclam
Annual report. University Marine Biological Station, Millport	Annu. Rep. Univ. Mar. Biol. Stn. Millport	Annu Rep Univ Mar Biol Stn Millport
Annual report. University of Southern California, Institute for Marine and Coastal Studies	Annu. Rep. Univ. South. Calif. Inst. Mar. Coast. Stud.	Annu Rep Univ South Calif Inst Mar Coast Stud
Annual reports series. Intergovernmental Oceanographic Commission	Annu. Rep. Ser. IOC	Annu Rep Ser IOC
Annual research report. Kuwait Institute for Scientific Research	Annu. Res. Rep. Kuwait Inst. Sci. Res.	Annu Res Rep Kuwait Inst Sci Res
Annual research summary. Alligator Rivers Region Research Institute	Annu. Res. Summ. Alligator Rivers Reg. Res. Inst.	Annu Res Summ Alligator Rivers Reg Res Inst
Annual Review of Biochemistry	Annu. Rev. Biochem.	Annu Rev Biochem
Annual Review of Biomedical Engineering	Annu. Rev. Biomed. Eng.	Annu Rev Biomed Eng
Annual Review of Biomedical Sciences	Annu. Rev. Biomed. Sci.	Annu Rev Biomed Sci
Annual Review of Biophysics and Biomolecular Structure	Annu. Rev. Biophys. Biomol. Struct.	Annu Rev Biophys Biomol Struct
Annual Review of Cell and Developmental Biology	Annu. Rev. Cell. Dev. Biol.	Annu Rev Cell Dev Biol
Annual Review of Clinical Psychology	Ann. Rev. Clin. Psych.	Ann Rev Clin Psych
Annual Review of Ecology and Systematics	Annu. Rev. Ecol. Syst.	Annu Rev Ecol Syst
Annual Review of Ecology, Evolution and Systematics	Annu. Rev. Ecol., Evol. Syst.	Annu Rev Ecol, Evol Syst
Annual Review of Entomology	Annu. Rev. Entomol.	Annu Rev Entomol
Annual Review of Fish Diseases	Annu. Rev. Fish Dis.	Annu Rev Fish Dis
Annual Review of Genetics	Annu. Rev. Genet.	Annu Rev Genet
Annual Review of Genomics & Human Genetics	Annu. Rev. Genom. Hum. Genet.	Annu Rev Genom Hum Genet
Annual Review of Immunology	Annu. Rev. Immunol.	Annu Rev Immunol
Annual Review of Medicine	Annu. Rev. Med.	Annu Rev Med
Annual Review of Microbiology	Annu. Rev. Microbiol.	Annu Rev Microbiol
Annual Review of Neuroscience	Annu. Rev. Neurosci.	Annu Rev Neurosci
Annual Review of Nutrition	Annu. Rev. Nutr.	Annu Rev Nutr
Annual Review of Pharmacology and Toxicology	Annu. Rev. Pharmacol. Toxicol.	Annu Rev Pharmacol Toxicol
Annual Review of Physiology	Annu. Rev. Physiol.	Annu Rev Physiol
Annual Review of Phytopathology	Annu. Rev. Phytopathol.	Annu Rev Phytopathol
Annual Review of Plant Biology	Annu. Rev. Plant Biol.	Annu Rev Plant Biol
Annual Review of Plant Physiology and Plant Molecular Biology	Annu. Rev. Plant Physiol. Plant Mol. Biol.	Annu Rev Plant Physiol Plant Mol Biol
Annual Review of Public Health	Annu. Rev. Public Health	Annu Rev Public Health
Annual review. Great Lakes Fisheries Research Branch (Canada)	Annu. Rev. Great Lakes Fish. Res. Branch (Can.)	Annu Rev Great Lakes Fish Res Branch (Can)
Annual summary of fish and marine mammal harvest data for the Northwest Territories	Annu. Summ. Fish Mar. Mamm. Harvest Data Northwest Territ.	Annu Summ Fish Mar Mamm Harvest Data Northwest Territ
Annual summary of fish harvesting activities, Western Canadian freshwater fisheries	Annu. Summ. Fish Harvest. Act. West. Can. Freshwat. Fish.	Annu Summ Fish Harvest Act West Can Freshwat Fish
Annuario del pesce e della pesca	Annu. Pesce Pesca	Annu Pesce Pesca
Antarctic Cooperative Research Centre research report	Antarct. CRC Res. Rep.	Antarct CRC Res Rep
Antarctic Journal of the United States	Antarct. J. U.S.	Antarct J US
Antarctic record (Tokyo)	Antarct. Rec. (Tokyo)	Antarct Rec (Tokyo)
Antarctic Science	Antarct. Sci.	Antarct Sci
Antarctic	Antarctic	Antarctic
Antarktika/Antarctic	Antarktika/Antarctic	Antarktika/Antarctic
Anthropology Today	Anthropol. Today	Anthropol Today
Anti-Cancer Drugs	Anti-Cancer Drugs	Anti-Cancer Drugs
Anticancer Research	Anticancer Res.	Anticancer Res
Antimicrobial Agents & Chemotherapy	Antimicrob. Agents Chemother.	Antimicrob Agents Chemother
Antioxidants and Redox Signaling	Antioxid. Redox Signal.	Antioxid Redox Signal
Antipode	Antipode	Antipode
Antisense and Nucleic Acid Drug Development	Antisense Nucleic Acid Drug Dev.	Antisense Nucleic Acid Drug Dev
Antiviral Chemistry & Chemotherapy	Antiviral Chem. Chemother.	Antiviral Chem Chemother
Antiviral Research	Antiviral Res.	Antiviral Res
Antonie Van Leeuwenhoek	Antonie Van Leeuwenhoek	Antonie Van Leeuwenhoek
Anuario estadistico de pesca. Secretaria de medio ambiente recursos naturales y pesca	Anu. Estad. Pesca Secr. Medio Ambiente Recur. Nat. Pesca	Anu Estad Pesca Secr Medio Ambiente Recur Nat Pesca
Anuario estadistico de pesca. Servicio Nacional de Pesca (Chile)	Anu. Estad. Pesca Serv. Nac. Pesca (Chile)	Anu Estad Pesca Serv Nac Pesca (Chile)
Anuario estadistico pesquero. Ministerio de Pesqueria (Peru)	Anu. Estad. Pesq. Minist. Pesq. (Peru)	Anu Estad Pesq Minist Pesq (Peru)
